Cidade,Estado,Sigla
Inconfidentes,Minas Gerais,MG
Indaiabira,Minas Gerais,MG
Indianópolis,Minas Gerais,MG
Ingaí,Minas Gerais,MG
Inhapim,Minas Gerais,MG
Inhaúma,Minas Gerais,MG
Inimutaba,Minas Gerais,MG
Ipaba,Minas Gerais,MG
Ipanema,Minas Gerais,MG
Ipatinga,Minas Gerais,MG
Ipiaçu,Minas Gerais,MG
Ipuiúna,Minas Gerais,MG
Iraí de Minas,Minas Gerais,MG
Itabira,Minas Gerais,MG
Itabirinha,Minas Gerais,MG
Itabirito,Minas Gerais,MG
Itacambira,Minas Gerais,MG
Itacarambi,Minas Gerais,MG
Itaguara,Minas Gerais,MG
Itaipé,Minas Gerais,MG
Itajubá,Minas Gerais,MG
Itamarandiba,Minas Gerais,MG
Itamarati de Minas,Minas Gerais,MG
Itambacuri,Minas Gerais,MG
Itambé do Mato Dentro,Minas Gerais,MG
Itamogi,Minas Gerais,MG
Itamonte,Minas Gerais,MG
Itanhandu,Minas Gerais,MG
Itanhomi,Minas Gerais,MG
Itaobim,Minas Gerais,MG
Itapagipe,Minas Gerais,MG
Itapecerica,Minas Gerais,MG
Itapeva,Minas Gerais,MG
Itatiaiuçu,Minas Gerais,MG
Itaú de Minas,Minas Gerais,MG
Itaúna,Minas Gerais,MG
Itaverava,Minas Gerais,MG
Itinga,Minas Gerais,MG
Itueta,Minas Gerais,MG
Ituiutaba,Minas Gerais,MG
Itumirim,Minas Gerais,MG
Iturama,Minas Gerais,MG
Itutinga,Minas Gerais,MG
Jaboticatubas,Minas Gerais,MG
Jacinto,Minas Gerais,MG
Jacuí,Minas Gerais,MG
Jacutinga,Minas Gerais,MG
Jaguaraçu,Minas Gerais,MG
Jaíba,Minas Gerais,MG
Jampruca,Minas Gerais,MG
Janaúba,Minas Gerais,MG
Januária,Minas Gerais,MG
Japaraíba,Minas Gerais,MG
Japonvar,Minas Gerais,MG
Jeceaba,Minas Gerais,MG
Jenipapo de Minas,Minas Gerais,MG
Jequeri,Minas Gerais,MG
Jequitaí,Minas Gerais,MG
Jequitibá,Minas Gerais,MG
Jequitinhonha,Minas Gerais,MG
Jesuânia,Minas Gerais,MG
Joaíma,Minas Gerais,MG
Joanésia,Minas Gerais,MG
João Monlevade,Minas Gerais,MG
João Pinheiro,Minas Gerais,MG
Joaquim Felício,Minas Gerais,MG
Jordânia,Minas Gerais,MG
José Gonçalves de Minas,Minas Gerais,MG
José Raydan,Minas Gerais,MG
Josenópolis,Minas Gerais,MG
Juatuba,Minas Gerais,MG
Juiz de Fora,Minas Gerais,MG
Juramento,Minas Gerais,MG
Juruaia,Minas Gerais,MG
Juvenília,Minas Gerais,MG
Ladainha,Minas Gerais,MG
Lagamar,Minas Gerais,MG
Lagoa da Prata,Minas Gerais,MG
Lagoa dos Patos,Minas Gerais,MG
Lagoa Dourada,Minas Gerais,MG
Lagoa Formosa,Minas Gerais,MG
Lagoa Grande,Minas Gerais,MG
Lagoa Santa,Minas Gerais,MG
Lajinha,Minas Gerais,MG
Lambari,Minas Gerais,MG
Lamim,Minas Gerais,MG
Laranjal,Minas Gerais,MG
Lassance,Minas Gerais,MG
Lavras,Minas Gerais,MG
Leandro Ferreira,Minas Gerais,MG
Leme do Prado,Minas Gerais,MG
Leopoldina,Minas Gerais,MG
Liberdade,Minas Gerais,MG
Lima Duarte,Minas Gerais,MG
Limeira do Oeste,Minas Gerais,MG
Lontra,Minas Gerais,MG
